month,day,hour,minute,weekday,occupied,outdoor_c,t_SPACE1-1,t_SPACE2-1,t_SPACE3-1,t_SPACE4-1,t_SPACE5-1,temp_mean,pmv_mean,kwh_step,heat_sp,cool_sp,violations,mode
7,15,0,15,1,0,24.2,22.21,22.15,22.17,22.17,21.83,22.11,0.0,0.0,21.0,23.5,0,baseline
7,15,0,30,1,0,22.8,22.15,22.1,22.12,22.11,21.79,22.05,-1.142,0.1187,21.0,23.5,0,baseline
7,15,0,45,1,0,21.4,22.05,22.02,22.02,22.03,21.76,21.98,-1.164,0.1187,21.0,23.5,0,baseline
7,15,0,60,1,0,20.0,21.93,21.93,21.91,21.94,21.73,21.89,-1.189,0.1187,21.0,23.5,0,baseline
7,15,1,15,1,0,20.0,21.81,21.83,21.79,21.83,21.69,21.79,-1.217,0.1187,21.0,23.5,0,baseline
7,15,1,30,1,0,20.0,21.7,21.74,21.69,21.75,21.66,21.71,-1.239,0.1187,21.0,23.5,0,baseline
7,15,1,45,1,0,20.0,21.63,21.67,21.62,21.68,21.63,21.65,-1.257,0.1187,21.0,23.5,0,baseline
7,15,1,60,1,0,20.0,21.57,21.61,21.55,21.62,21.59,21.59,-1.273,0.1187,21.0,23.5,0,baseline
7,15,2,15,1,0,19.85,21.51,21.56,21.5,21.56,21.56,21.54,-1.289,0.1187,21.0,23.5,0,baseline
7,15,2,30,1,0,19.7,21.45,21.49,21.44,21.5,21.52,21.48,-1.306,0.1187,21.0,23.5,0,baseline
7,15,2,45,1,0,19.55,21.39,21.43,21.37,21.44,21.49,21.42,-1.322,0.1187,21.0,23.5,0,baseline
7,15,2,60,1,0,19.4,21.32,21.37,21.31,21.37,21.46,21.37,-1.338,0.1187,21.0,23.5,0,baseline
7,15,3,15,1,0,19.27,21.27,21.31,21.25,21.31,21.42,21.31,-1.354,0.1187,21.0,23.5,0,baseline
7,15,3,30,1,0,19.15,21.21,21.25,21.19,21.26,21.39,21.26,-1.37,0.1187,21.0,23.5,0,baseline
7,15,3,45,1,0,19.02,21.16,21.2,21.13,21.2,21.36,21.21,-1.384,0.1187,21.0,23.5,0,baseline
7,15,3,60,1,0,18.9,21.11,21.15,21.08,21.15,21.33,21.16,-1.398,0.1187,21.0,23.5,0,baseline
7,15,4,15,1,0,18.9,21.06,21.1,21.03,21.1,21.3,21.12,-1.412,0.1187,21.0,23.5,0,baseline
7,15,4,30,1,0,18.9,21.01,21.05,20.98,21.05,21.27,21.07,-1.424,0.1187,21.0,23.5,0,baseline
7,15,4,45,1,0,18.9,20.98,21.01,20.95,21.01,21.24,21.04,-1.434,0.1187,21.0,23.5,0,baseline
7,15,4,60,1,0,18.9,20.96,21.07,21.06,21.0,21.22,21.06,-1.42,0.1187,21.0,23.5,0,baseline
7,15,5,15,1,0,19.32,20.96,21.23,21.33,21.01,21.2,21.14,-1.391,0.1187,21.0,23.5,0,baseline
7,15,5,38,1,0,19.75,20.98,21.45,21.63,21.04,21.19,21.26,-1.356,0.1187,21.0,23.5,0,baseline
7,15,5,53,1,0,20.18,21.02,21.74,21.99,21.1,21.19,21.41,-1.311,0.1187,21.0,23.5,0,baseline
7,15,5,68,1,0,20.6,21.09,22.12,22.4,21.18,21.2,21.6,-1.25,0.1187,21.0,23.5,0,baseline
7,15,6,23,1,0,21.0,21.18,22.58,22.86,21.28,21.22,21.82,-1.183,0.1187,21.0,23.5,0,baseline
7,15,6,34,1,0,21.4,22.2,22.23,22.63,22.19,22.08,22.27,-1.079,0.7522,21.0,23.5,0,baseline
7,15,6,45,1,0,21.8,22.2,22.2,22.54,22.2,22.2,22.27,-1.041,0.7654,21.0,23.5,0,baseline
